Date,Open,Open_,High,High_,Low,Low_,Close,CC,CO,Volume
20170313,185,0.005434783,186.5,0.010840108,185,0.010928962,186.5,3,1.5,4141
20170314,188,0.016216216,188,0.008042895,186,0.005405405,186,-0.5,-2,7773
20170315,185.5,-0.013297872,187,-0.005319149,185.5,-0.002688172,186.5,0.5,1,4952
20170316,188,0.013477089,190,0.016042781,188,0.013477089,190,3.5,2,15071
20170317,189.5,0.007978723,191.5,0.007894737,189,0.005319149,191.5,1.5,2,10731
20170320,191.5,0.01055409,191.5,0,189.5,0.002645503,191.5,0,0,6790
20170321,192,0.002610966,195,0.018276762,191.5,0.01055409,195,3.5,3,13192
20170322,192.5,0.002604167,193.5,-0.007692308,191.5,0,193.5,-1.5,1,9435
20170323,192,-0.002597403,193.5,0,192,0.002610966,193.5,0,1.5,6052
20170324,192,0,193,-0.002583979,192,0,192.5,-1,0.5,5225
20170327,194.5,0.013020833,194.5,0.007772021,192,0,193,0.5,-1.5,6963
20170328,195,0.002570694,195,0.002570694,192.5,0.002604167,194.5,1.5,-0.5,9380
20170329,194.5,-0.002564103,194.5,-0.002564103,191,-0.007792208,191.5,-3,-3,11340
20170330,192.5,-0.010282776,193,-0.007712082,190.5,-0.002617801,191.5,0,-1,9900
20170331,191,-0.007792208,192,-0.005181347,189,-0.007874016,189,-2.5,-2,10225
20170405,189.5,-0.007853403,193,0.005208333,189.5,0.002645503,193,4,3.5,14224
20170406,193,0.018469657,193,0,191,0.007915567,191.5,-1.5,-1.5,6309
20170407,192,-0.005181347,192,-0.005181347,188.5,-0.013089005,191,-0.5,-1,7861
20170410,191,-0.005208333,191.5,-0.002604167,189.5,0.00530504,190,-1,-1,6803
20170411,190,-0.005235602,191,-0.002610966,189,-0.002638522,191,1,1,3348
20170412,190.5,0.002631579,191.5,0.002617801,190,0.005291005,191,0,0.5,5778
